month	kind	code	label	summary
32.5	SPORTS	SN	SENEGAL	Beats Egypt on penalties to win its first Africa Cup of Nations.
46	TECH	KE	KENYA	Taifa-1 launches as Kenya's first operational Earth-observation satellite.
44.1	GOV	NG	NIGERIA	Bola Tinubu is declared winner of a closely watched presidential election.
56	SPORTS	CI	CÔTE D'IVOIRE	Wins the Africa Cup of Nations at home after a dramatic turnaround.
48	BUSINESS	CL	CHILE LITHIUM	Chile announces a national lithium strategy as battery-metal competition accelerates.
52.1	SPORTS	CL	SANTIAGO	Hosts the Pan American Games across Chile's capital region.
54.1	GOV	AR	ARGENTINA	Javier Milei takes office promising sharp economic changes.
60.1	GOV	MX	MEXICO	Claudia Sheinbaum is elected Mexico's first woman president.
61	SPORTS	AR	ARGENTINA	Wins Copa América again after extra time in Miami.
53.1	SPORTS	IN	INDIA CRICKET	Hosts the men's Cricket World Cup final; Australia takes the trophy in Ahmedabad.
55.1	TECH	IN	ADITYA-L1	India's first solar observatory reaches its halo orbit near the Sun-Earth L1 point.
60.2	GOV	IN	INDIA	Narendra Modi begins a third term after an election reduces his party's majority.
46.1	TECH	EU	ESA JUICE	Europe launches the Juice mission to study Jupiter's icy moons.
57	BUSINESS	EU	EU DIGITAL MARKETS	The Digital Markets Act starts applying to major online gatekeepers.
61.1	SPORTS	ES	SPAIN	Wins UEFA Euro 2024 with a late goal against England.
48.1	NEWS	RU	RUSSIA	The Wagner mutiny sends armed columns toward Moscow before a sudden stand-down.
50.1	TECH	RU	LUNA-25	Russia's lunar mission crashes during its attempt to reach the Moon's south polar region.
51	BUSINESS	RU	RUSSIAN FUEL	Moscow restricts diesel and gasoline exports as domestic supply concerns rise.
19.1	FUNNY	US	BERNIE'S MITTENS	A seated inauguration guest and his practical mittens become the internet's favourite winter uniform.
48.2	FUNNY	US	GRIMACE SHAKE	A purple fast-food promotion spawns a very strange wave of mock-horror videos.
49.2	FUNNY	US	BARBENHEIMER	Barbie and Oppenheimer turn one cinema weekend into an unlikely shared costume party.
62.1	FUNNY	AU	RAYGUN	An Olympic breaking performance becomes an instant global meme and a debate about judging.
3	DISASTER	BS	HURRICANE DORIAN	Category 5 Dorian stalls over the Bahamas with destructive wind, waves and storm surge.
4	DISASTER	JP	TYPHOON HAGIBIS	Hagibis hits Japan with extreme rainfall, storm surge and widespread flooding.
44	DISASTER	MZ	CYCLONE FREDDY	Freddy crosses the Indian Ocean and brings high seas, wind and flooding to Madagascar and Mozambique.
47	DISASTER	MM	CYCLONE MOCHA	Mocha makes landfall near the Bangladesh-Myanmar border after crossing the Bay of Bengal.
52	DISASTER	MX	HURRICANE OTIS	Otis rapidly intensifies before striking Acapulco as a Category 5 hurricane.
46.8	GOV	SD	SUDAN AIRSPACE	EASA lists Sudanese airspace as an active conflict zone as fighting disrupts civil aviation.
67.25	GOV	RU	RUSSIAN AIRSPACE	EASA advises against operating in affected Russian airspace west of 60 degrees east.
80.9	EVENT	IR	STRAIT OF HORMUZ	Attacks and a purported closure leave merchant vessels unable to exit the Gulf safely.
85.25	GOV	AE	GULF AIRSPACE	Conflict-zone bulletins remain active for Iran, Iraq, Jordan and the Persian Gulf and Gulf of Oman.
85.75	EVENT	UA	UKRAINE AIRSPACE	Ukraine keeps its civil flight regions closed as the active conflict warning is extended.
86.9	EVENT	IR	HORMUZ SHIPPING	IMO reports up to 400 ships and roughly 6,000 seafarers unable to depart safely.
